StayDate,ProductID,InventoryType,Quantity,AvgPrice,GrossRevenue,Cost,Profit
1/1/23,1699,HOTEL,3,212.2325,589.57,416,117.91
1/1/23,4078,SHOW,65,48.555,3109.5,1963.55,1145.95
1/1/23,7836,SHOW,26,38.355,861.24,522.1,339.14
1/1/23,594,SHOW,33,119.515,3913.02,2685.22,1227.8
1/1/23,2032,HOTEL,3,90.01,297.3,228.9,38.64
1/1/23,7741,HOTEL,1,326.53,326.53,259.2,32.65
1/1/23,741,HOTEL,5,89.22,419.07,325.5,54.49
1/1/23,3480,SHOW,159,74.6566,11637.83,7498.07,4139.76
1/1/23,763,HOTEL,2,69.45,138.9,98,27.78
1/1/23,787,HOTEL,39,184.5995,7112.75,5239.88,1171.77
1/1/23,784,HOTEL,11,101.933,920.3,697.4,132.23
1/1/23,726,HOTEL,27,91.3446,2387.39,1789.87,358
1/1/23,7898,SHOW,154,85.8354,12509.62,9339.13,3170.49
1/1/23,4097,HOTEL,4,113.6125,454.45,355.2,53.07
1/1/23,7925,SHOW,13,94.28,1153.04,840.32,312.72
1/1/23,790,HOTEL,1,193.46,193.46,145.52,29.02
1/1/23,81,SHOW,387,89.1657,33668.16,25596.28,8071.88
1/1/23,7805,SHOW,32,40.8914,1295.71,785.56,510.15
1/1/23,7602,SHOW,42,80.7918,3493.02,2569.02,924
1/1/23,743,HOTEL,5,95.7141,468.6,352.5,70.3
1/1/23,5940,SHOW,248,100.2389,24268.42,18277.17,5991.25
1/1/23,3036,SHOW,19,59.7585,1071.23,661.18,410.05
1/1/23,7757,HOTEL,5,188.9133,955.7,758.62,95.58
1/1/23,7899,SHOW,21,65.8071,1392.86,905.91,486.95
1/1/23,3807,SHOW,23,24.12,539.52,327.02,212.5
1/1/23,1138,SHOW,268,43.9697,10871.3,6968,3903.3
1/1/23,118,SHOW,181,75.5841,13331.42,8857.25,4474.17
1/1/23,6945,HOTEL,7,136.0129,952.09,713.25,146.1
1/1/23,4153,SHOW,43,70.5185,3050,1983.53,1066.47
1/1/23,7448,SHOW,162,44.3577,6202.91,4339.05,1863.86
1/1/23,7732,HOTEL,3,188.41,506.17,374.18,83.34
1/1/23,715,HOTEL,43,218.9925,8990.82,6295.85,1852.55
1/1/23,2685,SHOW,13,97.534,1266.61,915.72,350.89
1/1/23,7754,SHOW,67,67.9095,4578.18,3030.57,1547.61
1/1/23,7938,SHOW,4,70.64,282.56,181.72,100.84
1/1/23,5942,SHOW,31,68,1978.71,1281,697.71
1/1/23,7798,SHOW,15,44.0875,704.38,446.99,257.39
1/1/23,798,HOTEL,9,73.9816,591.11,444.64,88.68
1/1/23,816,HOTEL,52,262.3544,13025.07,10016.54,1668.34
1/1/23,54,SHOW,750,146.477,103977.41,81613.59,22363.82
1/1/23,4368,SHOW,101,58.1268,5906.22,4171.97,1734.25
1/1/23,7937,SHOW,206,196.0509,41964.67,31688.86,10275.81
1/1/23,7772,SHOW,102,93.6977,9218.38,6623.45,2594.93
1/1/23,779,HOTEL,7,158.26,1107.82,779.5,224.02
1/1/23,742,HOTEL,150,102.3758,14178.37,9821.41,3042.81
1/1/23,98,SHOW,544,94.9735,44257.03,33351.34,10905.69
1/1/23,3481,SHOW,23,48.4683,1124.57,682.99,441.58
1/1/23,7917,SHOW,9,46.355,420.37,254.87,165.5
1/1/23,7944,SHOW,75,37.33,2820.02,1776.52,1043.5
1/1/23,785,HOTEL,8,137.134,901.97,671.1,141.08
1/1/23,716,HOTEL,2,77.775,155.55,103.7,38.89
1/1/23,1815,SHOW,59,100.8795,5815.61,4262.66,1552.95
1/1/23,710,HOTEL,2,78.98,157.96,112.32,31.59
1/1/23,7073,SHOW,99,92.2031,8933.76,6609.41,2324.35
1/1/23,773,HOTEL,7,123.5966,698.63,509.93,120.46
1/1/23,7774,SHOW,204,79.3641,16172.39,11488.94,4683.45
1/1/23,756,HOTEL,30,104.5183,3002.95,2252.77,448.74
1/1/23,1906,SHOW,404,127.0193,50503.18,38791.28,11711.9
1/1/23,778,HOTEL,31,163.1997,4551.24,3405.6,689.96
1/1/23,7932,SHOW,18,49.9414,863.84,545.98,317.86
1/1/23,713,HOTEL,36,101.7849,3404.64,2577.2,482.61
1/1/23,7586,SHOW,54,168.9455,8953.55,6429.85,2523.7
1/1/23,627,SHOW,62,57.1114,3388.69,2185,1203.69
1/1/23,704,HOTEL,33,116.7555,3820.43,2801.02,644.65
1/1/23,813,HOTEL,47,134.0608,6195.44,4673.38,896.76
1/1/23,804,HOTEL,10,100.4279,851.97,638.88,127.6
1/1/23,776,HOTEL,18,204.9439,2750.19,1897.23,599.07
1/1/23,1051,HOTEL,6,288.7337,1803.75,1384.08,234.48
1/1/23,722,HOTEL,31,202.9862,6155.14,4397.15,1169.68
1/1/23,6996,SHOW,43,93.4172,3938.69,2919.83,1018.86
1/1/23,7835,SHOW,358,130.7361,44878.8,34923.94,9954.86
1/1/23,3802,SHOW,67,41.1266,2862.75,1815.5,1047.25
1/1/23,7924,SHOW,2,49.53,99.06,62.4,36.66
1/1/23,1729,HOTEL,24,201.8801,4671.7,3396.13,821.12
1/2/23,720,HOTEL,5,74.125,372.68,289.12,45.97
1/2/23,800,HOTEL,5,95.6662,481.88,340,96.37
1/2/23,777,HOTEL,68,89.4487,6797,4896.68,1245.23
1/2/23,7810,SHOW,31,32.5828,862.29,608.02,254.27
1/2/23,3122,SHOW,580,192.8071,115941.86,90589.53,25352.33
1/2/23,7773,SHOW,39,74.6931,2884.14,2040.48,843.66
1/2/23,806,HOTEL,1,55.6,55.6,41.82,8.34
1/2/23,926,SHOW,110,107.6952,11204.52,8417.64,2786.88
1/2/23,786,HOTEL,3,82.6833,248.05,190.34,32.25
1/2/23,3036,SHOW,13,63.3857,845.04,531.23,313.81
1/2/23,7698,SHOW,157,73.065,10310.14,7517.24,2792.9
1/2/23,783,HOTEL,33,74.8909,2653.49,1991.92,395.05
1/2/23,1109,HOTEL,3,115.0067,345.02,264.74,44.86
1/2/23,4078,SHOW,47,52.5822,2402.88,1522.85,880.03
1/2/23,1699,HOTEL,9,107.646,1027.19,762.2,163
1/2/23,7513,HOTEL,1,167.8,167.8,111,41.95
1/2/23,7853,SHOW,258,98.8446,23381.1,16001.06,7380.04
1/2/23,130,SHOW,405,142.306,56870.43,43610.24,13260.19
1/2/23,2414,HOTEL,35,173.3905,6607.21,5048,883.76
1/2/23,7899,SHOW,15,65.8071,965.31,625.65,339.66
1/2/23,773,HOTEL,1,49.17,49.17,35.99,8.36
1/2/23,1138,SHOW,333,43.4043,13721.3,8776,4945.3
1/2/23,81,SHOW,298,89.1434,25834.3,19559.18,6275.12
1/2/23,743,HOTEL,24,64.365,1705.83,1300.5,236.35
1/2/23,737,HOTEL,87,48.4467,4990.43,3578.71,933.02
1/2/23,891,HOTEL,3,256.905,774.56,587.72,108.2
1/2/23,7697,SHOW,171,83.0478,13786.43,9323.73,4462.7
1/2/23,722,HOTEL,171,98.3601,16983.29,11711.66,3704.61
1/2/23,7389,SHOW,280,81.7693,22193.25,16271.96,5921.29
1/2/23,1555,HOTEL,1,276.99,276.99,207.66,41.55
1/2/23,788,HOTEL,5,62.694,313.47,600.36,-367.23
1/2/23,93,SHOW,210,106.7913,21519.51,16482.9,5036.61
1/2/23,118,SHOW,145,75.595,10972.52,7297.85,3674.67
1/2/23,4097,HOTEL,6,62.8289,372.23,263.52,74.45
1/2/23,745,HOTEL,5,83.3137,505.62,381.29,74.77
1/2/23,7924,SHOW,13,43.18,554.99,349.6,205.39
1/2/23,7732,HOTEL,2,110.74,221.48,166.6,33.22
1/2/23,602,SHOW,1,72.52,72.52,47.55,24.97
1/2/23,2685,SHOW,47,100.99,4689.41,3390.78,1298.63
1/2/23,776,HOTEL,64,62.3891,3867.77,2714.89,789.47
1/2/23,7787,SHOW,145,117.3116,17270.89,12532.14,4738.75
1/2/23,7073,SHOW,156,94.255,14568.86,10793.91,3774.95
1/2/23,7798,SHOW,31,43.6842,1399.34,884.83,514.51
1/2/23,704,HOTEL,80,55.0096,4371.14,3050.32,912.64
1/2/23,814,HOTEL,5,221.362,1106.81,799.85,199.95
1/2/23,787,HOTEL,148,63.9821,9593.4,6639.08,2066.05
1/2/23,774,HOTEL,156,54.9013,9377.95,6708.37,1771.94
1/2/23,3802,SHOW,27,47.4675,1340.92,862.07,478.85
1/2/23,7602,SHOW,31,83.5411,2540.57,1857.97,682.6
1/2/23,7448,SHOW,177,43.282,7214.05,5051.91,2162.14
1/2/23,4154,HOTEL,2,145.77,291.54,211.56,52.48
1/2/23,715,HOTEL,54,168.5798,8859.56,6331.25,1681.19
1/2/23,748,HOTEL,8,104.1939,837.27,626.84,128.91
1/2/23,1051,HOTEL,34,141.7837,4805.32,3687.26,624.72
1/2/23,7658,SHOW,212,117.3737,24442.22,17723.16,6719.06
1/2/23,726,HOTEL,48,56.7368,3265.43,2448.25,489.65
1/2/23,7772,SHOW,95,94.6752,8449.86,6076.58,2373.28
1/2/23,7911,SHOW,4,69.44,277.76,191.84,85.92
1/2/23,742,HOTEL,234,30.2084,7034.08,4931.72,1442.42
1/2/23,5727,SHOW,44,67.4882,2973.04,1965.8,1007.24
1/2/23,3481,SHOW,40,47.5825,1877.05,1142.16,734.89
1/2/23,7586,SHOW,46,146.56,6757.73,4847.84,1909.89
1/2/23,4368,SHOW,90,57.8476,5236.94,3701.58,1535.36
1/2/23,6945,HOTEL,2,43.76,87.52,65.57,13.43
1/2/23,4213,HOTEL,4,64.4116,252.69,173.71,55.74
1/2/23,7754,SHOW,51,68.66,3332.24,2176.21,1156.03
1/2/23,4153,SHOW,61,73.2517,4227.44,2743.31,1484.13
1/2/23,7835,SHOW,316,122.7063,35599.03,27617.9,7981.13
1/2/23,716,HOTEL,2,52.285,104.57,69.7,26.15
1/2/23,804,HOTEL,9,34.3695,285.8,303.88,-58.73
1/2/23,813,HOTEL,39,89.0405,4704.61,3527.21,705.51
1/2/23,4369,HOTEL,74,23.3095,1602.3,1104.13,350.38
1/2/23,7657,SHOW,232,123.593,27449.28,20746.72,6702.56
1/2/23,4116,SHOW,56,74.41,4180.02,2789.2,1390.82
1/2/23,627,SHOW,51,53.6358,2586.74,1657.05,929.69
1/2/23,812,HOTEL,8,112.3633,939.24,655.63,195.9
1/2/23,816,HOTEL,32,147.808,5070.91,3893.52,656.42
1/2/23,54,SHOW,401,155.9513,61013.62,47729.84,13283.78
1/2/23,713,HOTEL,101,43.7948,5426.32,3855.65,1054.75
1/2/23,3416,HOTEL,2,220.41,440.82,349.92,44.08
1/2/23,741,HOTEL,13,38.8766,531.23,408.64,73.52
1/2/23,7917,SHOW,9,38.9466,344.17,208.67,135.5
1/2/23,792,HOTEL,52,36.1995,1971.39,1343.85,447.68
1/2/23,1729,HOTEL,34,122.7003,4046.15,2929.29,724.81
1/2/23,7757,HOTEL,11,95.251,1028.18,816.12,102.85
1/2/23,7774,SHOW,102,79.6315,7935.26,5620.76,2314.5
1/2/23,7765,HOTEL,6,158.38,857.17,680.41,85.73
1/2/23,779,HOTEL,37,136.0582,6146.79,4676.02,845.1
1/2/23,5940,SHOW,294,98.541,28913.89,21769.94,7143.95
1/2/23,3480,SHOW,107,72.9952,7623.12,4900.96,2722.16
1/2/23,756,HOTEL,9,57.9023,616.04,461.85,92.4
1/2/23,6996,SHOW,25,87.1187,2046.21,1506.95,539.26
1/2/23,2032,HOTEL,1,26.36,26.36,20.3,3.42
1/2/23,140,SHOW,1401,119.265,160291.22,116628.85,43662.37
1/2/23,2292,SHOW,128,86.7896,10427.27,7002.8,3424.47
1/2/23,778,HOTEL,7,76.102,543.1,409.06,79.31
1/3/23,891,HOTEL,3,237.9466,713.84,535.16,107.08
1/3/23,118,SHOW,161,76.4904,11762.29,7810.3,3951.99
1/3/23,722,HOTEL,46,105.6335,5545.51,3959.77,1055.91
1/3/23,756,HOTEL,3,37.0366,111.11,83.3,16.66
1/3/23,1051,HOTEL,6,259.6216,2268.28,1740.51,294.88
1/3/23,748,HOTEL,8,123.4908,1079.15,801.04,173.95
1/3/23,4369,HOTEL,26,55.5978,2532.17,1870.14,411.81
1/3/23,5940,SHOW,315,100.5876,31426.16,23680.42,7745.74
1/3/23,130,SHOW,503,136.6995,68537.73,52548.88,15988.85
1/3/23,737,HOTEL,95,72.4336,7583.29,5425.81,1431.57
1/3/23,7835,SHOW,318,128.0364,39137.01,30564.52,8572.49
1/3/23,799,HOTEL,4,166.0975,664.39,499.76,99.67
1/3/23,1138,SHOW,333,41.7511,13619.5,8704,4915.5
1/3/23,7389,SHOW,265,78.0569,19831.24,14396.43,5434.81
1/3/23,3802,SHOW,58,42.5985,2523.57,1600.71,922.86
1/3/23,7698,SHOW,110,67.7855,6641.31,4770.54,1870.77
1/3/23,800,HOTEL,2,92.12,184.24,130,36.84
1/3/23,2088,SHOW,31,42.19,1282.34,762.68,519.66
1/3/23,783,HOTEL,34,125.4238,4723.32,3382.42,888.33
1/3/23,1699,HOTEL,3,160.5125,518.46,397.83,67.4
1/3/23,7586,SHOW,45,156.0178,6964.78,5001.32,1963.46
1/3/23,773,HOTEL,5,201.612,1008.06,737.95,171.37
1/3/23,779,HOTEL,2,60.05,120.1,82,27.12
1/3/23,742,HOTEL,62,69.3589,6346.97,4608.39,1121.93
1/3/23,3036,SHOW,16,60.7916,1013.7,652.01,361.69
1/3/23,720,HOTEL,1,66.66,66.66,50.14,10
1/3/23,7899,SHOW,17,67.6216,1144.14,746.57,397.57
1/3/23,7933,SHOW,10,54.1233,474.3,301.26,173.04
1/3/23,4078,SHOW,34,51.949,1753.69,1112.7,640.99
1/3/23,5894,SHOW,27,72.3488,1953.42,1261.26,692.16
1/3/23,743,HOTEL,14,62.815,923.29,700.5,131.77
1/3/23,777,HOTEL,38,87.2982,3907.7,2732.55,809.58
1/3/23,7911,SHOW,6,59.145,354.87,239.76,115.11
1/3/23,135,SHOW,79,48.009,3774.21,2547.1,1227.11
1/3/23,715,HOTEL,21,140.9882,3098.44,2153,657.36
1/3/23,774,HOTEL,160,63.1373,10559.75,7307.17,2274.81
1/3/23,7937,SHOW,213,193.3078,41663.8,31324.81,10338.99
1/3/23,3481,SHOW,25,47.2028,1236.91,755.73,481.18
1/3/23,93,SHOW,454,94.394,42682.95,32402.15,10280.8
1/3/23,792,HOTEL,41,37.2822,1933.7,1323.08,433.55
1/3/23,7448,SHOW,143,42.4944,5666.75,3966.65,1700.1
1/3/23,7602,SHOW,83,82.2291,6661.1,4865.23,1795.87
1/3/23,4116,SHOW,65,72.7266,4637.88,3066.75,1571.13
1/3/23,3053,SHOW,227,49.923,11072.04,7029.85,4042.19
1/3/23,804,HOTEL,22,99.3712,2159.57,1625.67,316.38
1/3/23,7757,HOTEL,6,249.2433,1495.46,1187.1,149.54
1/3/23,776,HOTEL,49,107.6943,6150.93,4383.96,1180.34
1/3/23,4153,SHOW,73,74.313,5398.98,3517.58,1881.4
1/3/23,7754,SHOW,95,63.1827,6234.71,4052.45,2182.26
1/3/23,7687,SHOW,24,81.907,1981.38,1328.72,652.66
1/3/23,704,HOTEL,24,77.3316,2224.66,1614.32,394.34
1/3/23,2685,SHOW,28,95.2325,2744.07,1983.42,760.65
1/3/23,787,HOTEL,20,87.898,2774.77,2034.47,468.11
1/3/23,741,HOTEL,3,21.11,66.42,49.42,11.06
1/3/23,812,HOTEL,4,124.7166,547.05,386,109.41
1/3/23,627,SHOW,80,49.628,4432.04,2844,1588.04
1/3/23,3480,SHOW,88,74.7977,6638.62,4302.41,2336.21
1/3/23,7853,SHOW,373,93.4524,35193.98,24188.86,11005.12
1/3/23,775,HOTEL,5,129.952,649.76,488.75,97.46
1/3/23,2292,SHOW,93,81.1883,7778.61,5226.5,2552.11
1/3/23,7917,SHOW,2,36.83,73.66,44.66,29
1/3/23,816,HOTEL,5,232.25,1242.56,955.24,159.5
1/3/23,726,HOTEL,13,81.9876,1472.1,1103.63,220.77
1/3/23,778,HOTEL,5,137.7537,833.33,634.71,113.7
1/3/23,7774,SHOW,151,73.6647,11075.1,7823.62,3251.48
1/3/23,784,HOTEL,6,108.7337,789.07,598.06,113.26
1/3/23,6995,SHOW,14,39.4525,524.96,319.26,205.7
1/3/23,4368,SHOW,88,59.3513,5125.03,3615.77,1509.26
1/3/23,7932,SHOW,6,41.8566,251.14,158.18,92.96
1/3/23,813,HOTEL,13,118.9121,2156.72,1624.64,314.71
1/3/23,140,SHOW,1406,116.3289,159629.35,116495.87,43133.48
1/3/23,713,HOTEL,11,54.9285,957.57,711.56,150.81
1/3/23,1729,HOTEL,12,226.9621,2816.07,2017.1,529.09
1/4/23,7389,SHOW,244,76.981,18399.11,13371.56,5027.55
1/4/23,130,SHOW,382,139.8784,52748.17,40451.2,12296.97
1/4/23,777,HOTEL,26,248.3821,6930.54,5257.78,969.27
1/4/23,4116,SHOW,33,71.634,2296.5,1509.95,786.55
1/4/23,737,HOTEL,157,120.4655,17984.22,12618.44,3677.53
1/4/23,7773,SHOW,68,68.2429,4618.04,3221.84,1396.2
1/4/23,7933,SHOW,11,40.74,478.29,301.25,177.04
1/4/23,7932,SHOW,22,46.1344,1006.78,635.38,371.4
1/4/23,3481,SHOW,29,49.8222,1564.13,959.85,604.28
1/4/23,4097,HOTEL,4,118.99,475.96,336.96,95.19
1/4/23,7698,SHOW,99,67.334,5940.01,4286.66,1653.35
1/4/23,704,HOTEL,10,179.6145,2208.65,1655.8,331.31
1/4/23,2088,SHOW,35,45.829,1553.06,935.32,617.74
1/4/23,785,HOTEL,14,124.9937,2115.56,1585.96,317.36
1/4/23,788,HOTEL,14,120.2536,1841.14,1301.23,365.81
1/4/23,4369,HOTEL,3,325.0233,975.07,731,146.26
1/4/23,748,HOTEL,24,167.2592,4327.66,3232.46,674.91
1/4/23,800,HOTEL,7,357.2875,2742.09,1819,679.71
1/4/23,2032,HOTEL,4,114.2516,541.87,417.2,70.43
1/4/23,7899,SHOW,28,67.0163,1881.32,1227.88,653.44
1/4/23,7853,SHOW,164,95.9089,15878.8,10970.26,4908.54
1/4/23,7688,SHOW,69,69.52,4775.47,3050.42,1725.05
1/4/23,599,SHOW,592,220.2295,130856.42,107782.99,23073.43
1/4/23,93,SHOW,399,92.1888,38450.99,29312.37,9138.62
1/4/23,7434,SHOW,27,154.096,4169.41,2993.03,1176.38
1/4/23,3036,SHOW,36,62.5092,2261.72,1414.13,847.59
1/4/23,92,SHOW,56,92.4744,5218.61,3841.52,1377.09
1/4/23,783,HOTEL,21,260.8292,6230.35,4628.53,982.5
1/4/23,7687,SHOW,13,86.0083,1148.36,773.67,374.69
1/4/23,7937,SHOW,143,188.4691,27016.85,20327.52,6689.33
1/4/23,713,HOTEL,15,196.0514,3382.12,2535.55,507.33
1/4/23,926,SHOW,59,104.9511,5703,4267.95,1435.05
1/4/23,816,HOTEL,13,537.3941,7665.76,5882.12,996.6
1/4/23,7448,SHOW,112,42.0442,4284.83,2998.57,1286.26
1/4/23,5940,SHOW,260,99.609,25967.38,19596.79,6370.59
1/4/23,3480,SHOW,81,76.457,6009.37,3886.12,2123.25
1/4/23,784,HOTEL,1,147.93,147.93,111.27,22.19
1/4/23,802,HOTEL,11,156.5843,1768.22,1314,283.38
1/4/23,774,HOTEL,154,112.0277,18213.86,12614.81,3911.19
1/4/23,776,HOTEL,33,179.8669,6884.31,5211.48,975.51
1/4/23,716,HOTEL,3,170.6233,511.87,351,116.99
1/4/23,7911,SHOW,7,64.19,480.01,331.72,148.29
1/4/23,742,HOTEL,15,230.4856,3939.95,3004.75,533.15
1/4/23,7917,SHOW,7,34.925,242.57,147.07,95.5
1/4/23,135,SHOW,61,46.5716,2841.38,1907.55,933.83
1/4/23,804,HOTEL,10,165.6316,1838.36,1361.98,294.13
1/4/23,756,HOTEL,8,347.6612,2781.29,2084.2,418.21
1/4/23,1729,HOTEL,4,440.765,1763.06,1244,352.61
1/4/23,773,HOTEL,2,362.8,725.6,524.78,130.61
1/4/23,1051,HOTEL,7,488.1125,3721.25,2855.41,483.79
1/4/23,745,HOTEL,1,90.4,90.4,68,13.56
1/4/23,722,HOTEL,20,293.1142,6949.11,5209.69,1042.38
1/4/23,4213,HOTEL,5,211.0275,1473.09,1101.2,224.55
1/4/23,7754,SHOW,15,68.5728,1024.62,670.65,353.97
1/4/23,813,HOTEL,11,348.3305,3762.02,2852.83,527.5
1/4/23,3802,SHOW,33,38.2014,1263.37,796.98,466.39
1/4/23,741,HOTEL,27,111.3708,3174.85,2506.1,367.91
1/4/23,1906,SHOW,512,108.0178,54819.74,41958.01,12861.73
1/4/23,778,HOTEL,3,467.5033,1402.51,1076.19,182.33
1/4/23,7774,SHOW,110,71.4854,7836.5,5530.81,2305.69
1/4/23,7772,SHOW,89,99.513,8560.92,6171.12,2389.8
1/4/23,1138,SHOW,281,43.8139,12115.2,7768,4347.2
1/4/23,4368,SHOW,48,56.3668,2817.81,1995,822.81
1/4/23,743,HOTEL,7,90.4026,709.92,534,106.51
1/4/23,807,HOTEL,3,107.575,328.85,245.2,49.33
1/4/23,787,HOTEL,20,346.767,7600.29,5697.85,1140.03
1/4/23,4153,SHOW,47,75.52,3444.74,2239.12,1205.62
1/4/23,715,HOTEL,11,847.818,7993.75,6133.84,1039.19
1/4/23,118,SHOW,103,75.2539,7215.3,4756.05,2459.25
1/4/23,4078,SHOW,34,50.7142,1597.5,1008.7,588.8
1/4/23,2685,SHOW,27,99.5737,2666.28,1926.34,739.94
1/4/23,726,HOTEL,13,149.5565,2045.64,1533.6,306.83
1/4/23,7925,SHOW,17,82.5357,1332.1,960.03,372.07
1/4/23,3816,HOTEL,1,180.27,180.27,135.15,27.04
1/4/23,792,HOTEL,76,129.6437,11008.87,8215,1694.76
1/4/23,812,HOTEL,5,282.5044,1618.5,1142,323.7
1/4/23,786,HOTEL,4,170.2216,699.73,536.92,90.97
1/4/23,6995,SHOW,14,44.015,524.96,319.26,205.7
1/4/23,3053,SHOW,99,51.0916,5085.06,3235.45,1849.61
1/4/23,720,HOTEL,3,96.605,281.34,211.62,42.2
1/4/23,7826,HOTEL,1,563.73,563.73,432.56,73.29
1/4/23,2292,SHOW,61,82.9572,4941.62,3305.35,1636.27
1/5/23,7741,HOTEL,4,479.695,1878.15,1490.85,187.81
1/5/23,7434,SHOW,13,145.4866,1895.75,1360.95,534.8
1/5/23,783,HOTEL,18,397.141,6847.56,4954,1230.7
1/5/23,92,SHOW,24,98.4711,2406.49,1788.11,618.38
1/5/23,1051,HOTEL,6,723.3183,4339.91,3330.15,564.18
1/5/23,7772,SHOW,59,87.0787,5152.96,3692.85,1460.11
1/5/23,776,HOTEL,11,292.058,3120.21,3190.89,-497.64
1/5/23,756,HOTEL,3,333.3367,1000.01,749.7,150
1/5/23,130,SHOW,393,142.883,54574.68,41842.29,12732.39
1/5/23,7732,HOTEL,1,213.11,213.11,160.3,31.97
1/5/23,7899,SHOW,18,65.9828,1201.52,780.78,420.74
1/5/23,627,SHOW,45,47.6009,2139.58,1355.75,783.83
1/5/23,802,HOTEL,2,115.48,230.96,163.5,46.2
1/5/23,7621,SHOW,64,40.1511,2559.8,1791.26,768.54
1/5/23,6996,SHOW,18,90.9214,1541.19,1140.63,400.56
1/5/23,713,HOTEL,8,342.1441,2653.09,1987.65,399.5
1/5/23,7448,SHOW,147,43.619,5958.04,4170.36,1787.68
1/5/23,5894,SHOW,22,75.2922,1698.1,1102.64,595.46
1/5/23,7924,SHOW,2,36.83,73.66,46.4,27.26
1/5/23,710,HOTEL,2,138.61,277.22,197.14,55.44
1/5/23,785,HOTEL,3,215.27,644.82,481.92,98.42
1/5/23,118,SHOW,94,78.489,7206.56,4818.25,2388.31
1/5/23,7932,SHOW,25,52.998,1315.83,836.79,479.04
1/5/23,799,HOTEL,1,157.06,157.06,118.14,23.56
1/5/23,7784,SHOW,84,86.4103,7116.6,4844.4,2272.2
1/5/23,816,HOTEL,12,570.2394,5496.45,4239.39,689.85
1/5/23,4116,SHOW,31,74.6163,2197.76,1450.05,747.71
1/5/23,745,HOTEL,8,187.0566,1378.22,1054.06,187.13
1/5/23,4078,SHOW,22,49.0487,1143.87,726.1,417.77
1/5/23,786,HOTEL,12,253.405,3040.86,2256.96,481.92
1/5/23,1729,HOTEL,6,471,2826,1994,565.2
1/5/23,4368,SHOW,74,57.9065,4265.25,3013.9,1251.35
1/5/23,891,HOTEL,7,608.86,3710.44,2878.6,446.69
1/5/23,7389,SHOW,266,79.8922,19915.36,14467.22,5448.14
1/5/23,704,HOTEL,20,397.0023,7944.96,5956.29,1191.76
1/5/23,7698,SHOW,70,78.25,4396.68,3186.24,1210.44
1/5/23,7805,SHOW,3,42.89,121.75,73.82,47.93
1/5/23,737,HOTEL,75,183.304,14691.61,10381.42,2921.15
1/5/23,6945,HOTEL,1,115.28,115.28,84.68,19.59
1/5/23,774,HOTEL,102,219.1307,22635.8,15948.55,4553.2
1/5/23,4097,HOTEL,9,230.4491,2168.74,1595.68,365.61
1/5/23,1109,HOTEL,5,294.405,1168.14,878.9,171.65
